from,to,timestamp,tx_hash,amount,usd_value
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x5b2e4a700dfbc560061e957edec8f6eeeb74a320,1527968178.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,1527968622.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x701c244b988a513c945973defa05de933b23fe1d,1529310710.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x5d65d971895edc438f465c17db6992698a52318d,1529310845.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x0abdace70d3790235af448c88547603b945604ea,1529310905.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x4156d3342d5c385a87d264f90653733592000581,1529311112.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x8aa33a7899fcc8ea5fbe6a608a109c3893a1b8b2,1529311159.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,1529311223.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0x07e3c70653548b04f0a75970c1f81b4cbbfb606f,1529311357.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
0x984ac2891fbaf6a10038c25cc1ba20e787416cfe,0xe477292f1b3268687a29376116b0ed27a9c76170,1529311514.0,0xfcc6c33cbee6c03866d79ae517aaadb40dbea36509c0e83cf00d9f51a4cc884e,0.0,0
